Meat and livestock monthly U.S. trade,,,,,,,,,,,,,,,
"Import/export, country code and name 1/ 2/",,,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
,2440,Cayman Islands,,,,,,,,,,,,,40
,3510,Brazil,,,,7,,,,,23,,4,,
,3330,Peru,,,,,33,,,,,,,,
,2390,Cuba,,,,24,,,,,,,,,
,5330,India,,,,,,,20,,1,,,,
,,Other countries,3,0,22,6,2,1,15,8,14,8,22,16,5
,,"Total
 ","26,513","44,513","26,417","20,726","22,917","19,361","19,430","17,048","16,694","15,887","16,713","20,589","30,690"
"Pork imports
(Carcass wt. 1,000 pounds)",1220,Canada,"46,942","52,877","49,151","45,609","46,931","45,399","49,220","41,517","42,749","45,114","48,802","50,340","50,994"
,4550,Poland,"9,441","8,315","11,661","13,985","15,078","18,157","18,387","16,614","11,119","9,447","10,068","8,002","5,789"
,4099,Denmark,"5,009","6,385","4,851","4,797","6,919","4,626","6,451","5,009","3,670","3,442","3,314","6,640","4,077"
,2010,Mexico,"4,421","5,037","3,796","4,449","4,629","4,803","4,599","4,290","4,777","3,815","3,081","2,794","3,320"
,4759,Italy,"2,249","2,687","2,784","2,176","1,946","1,923","2,371","1,892","2,329","2,632","2,879","2,194","2,522"
,4700,Spain,"2,013","1,964","2,191","2,316","2,097","1,747","2,251","2,087","2,554","2,448","2,740","3,153","2,313"
,3510,Brazil,"2,148","1,820","2,119","2,380","1,793","1,748","3,053","2,047","2,371","1,860","2,553","1,312","1,373"
,4120,United Kingdom,"1,706","2,481","1,952","2,072","1,888","1,387","2,464","2,649","2,843","1,714","2,070","1,484","1,494"
,4210,Netherlands,"1,215","1,588","2,486",877,927,931,"1,446","1,247","1,103",915,"1,009","1,418",919
,4190,Ireland,677,886,781,799,"1,261",540,951,780,"1,010",676,788,574,529
,4280,"Germany, Fed. Republic",264,343,397,371,136,730,275,676,285,331,431,428,171
,3370,Chile,629,110,433,394,372,161,598,310,301,327,436,358,261
,4050,Finland,,54,,105,145,55,109,51,54,109,217,,
,4370,Hungary,,,59,,58,23,79,79,60,24,138,178,
,4510,Lithuania,6,35,52,,46,39,,19,61,,54,25,59
,4279,France,3,8,40,8,5,9,3,25,2,4,7,14,7
,4791,Croatia,,1,46,,10,,13,,1,12,32,12,
,5330,India,,,,,,,,,,28,29,,
,4330,Austria,,,21,,,,,,,,,,
,6141,New Zealand,2,1,2,1,1,0,0,,0,0,0,0,
,,Other countries,0,0,0,0,1,0,0,0,0,0,0,0,0
,,"Total
 ","76,727","84,593","82,821","80,339","84,242","82,278","92,270","79,292","75,290","72,899","78,650","78,925","73,828"
"Pork exports
(Carcass wt. 1,000 pounds)",2010,Mexico,"130,756","151,639","140,441","139,492","142,364","116,775","128,474","118,852","108,743","133,874","150,753","137,289","125,941"
,5880,Japan,"92,644","110,024","103,054","92,708","102,397","88,731","96,569","93,714","111,524","97,896","97,664","87,857","86,996"
,5800,South Korea,"37,471","58,997","75,863","77,100","54,975","59,220","61,032","75,297","64,404","42,814","36,206","42,407","33,780"
,5700,China (Mainland),"17,152","19,798","20,826","30,163","23,476","29,887","42,317","49,550","56,751","68,984","107,914","93,352","67,575"
,1220,Canada,"51,156","43,109","48,128","48,017","41,511","40,189","55,037","49,263","42,866","43,128","45,657","43,454","50,439"
,3010,Colombia,"22,579","29,317","30,408","32,338","26,564","24,448","28,832","32,212","32,506","21,759","15,216","16,779","18,480"
,6021,Australia,"15,179","15,432","23,163","29,989","23,553","29,477","27,628","29,755","30,011","23,866","20,483","17,958","20,147"
,3370,Chile,"5,561","10,799","7,725","9,569","8,149","9,738","9,207","9,292","8,134","13,629","14,252","9,373","3,634"
,2470,Dominican Republic,"9,934","9,540","10,012","9,231","9,258","9,007","12,715","9,225","8,812","6,790","6,240","7,421","7,158"
,5650,Philippines,"11,773","12,414","5,412","5,821","6,287","7,883","8,264","6,098","6,085","8,444","6,343","11,847","10,638"
,2150,Honduras,"6,558","8,024","8,325","7,517","7,681","7,250","7,243","9,727","8,145","6,624","8,610","7,580","8,202"
,5830,China (Taiwan),"5,409","3,834","5,922","3,218","5,641","4,102","6,531","5,429","2,266","3,749","2,089","3,478","2,357"
,2250,Panama,"3,256","3,278","4,820","13,865","2,597","1,554","2,355","3,734","3,498","3,696","3,164","4,517","3,500"
,2050,Guatemala,"3,002","4,380","4,624","3,860","4,083","3,764","3,669","3,854","4,386","3,633","3,577","4,364","4,610"
,5820,Hong Kong,"4,037","4,293","4,133","4,085","2,384","2,144","3,184","3,157","3,376","3,434","4,757","3,704","6,422"
,6141,New Zealand,"2,035","1,404","1,766","2,206","1,907","2,153","1,834","3,020","2,851","1,959","3,313","3,119","2,480"
,2230,Costa Rica,"1,132","1,442","1,350","2,979","1,858","1,936","2,297","2,260","2,262","1,771","2,383","1,275","1,119"
,2190,Nicaragua,"1,780","1,480","1,962","1,838","2,112","1,774","1,500","2,327","2,027","2,131","2,657","1,392",713
,2110,El Salvador,"1,386","1,831","1,968","1,710","1,286","2,038","1,921","1,803","1,688","1,907","1,683","2,271","1,881"
,3330,Peru,"1,437","1,417","1,029","1,541","1,197","1,520","5,320","4,642","1,001",966,808,596,"1,182"
,,Other countries,"8,091","10,496","12,225","8,804","8,486","8,767","9,485","11,310","10,101","7,881","8,384","8,554","7,781"
,,"Total
 ","432,328","502,949","513,155","526,049","477,765","452,358","515,412","524,520","511,437","498,933","542,154","508,586","465,034"
"Hog imports
(Head)",1220,Canada,"380,651","432,536","450,754","402,271","485,410","438,388","414,758","440,820","453,744","360,778","379,982","411,688","409,013"
,4710,Portugal,,260,,,,,,,,,,,
,4279,France,,,195,,,,,,,,,,
,,Other countries,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Total
 ","380,651","432,796","450,949","402,271","485,410","438,388","414,758","440,820","453,744","360,778","379,982","411,688","409,013"
"Hog exports
(Head)",2010,Mexico,"2,780","11,734","4,608","2,168","4,984","2,371","2,290","1,412","2,864","2,931","2,096","1,884","1,699"
,1220,Canada,355,246,290,166,460,218,510,617,279,405,376,445,535
,3510,Brazil,59,,51,,67,,76,"2,575",,,356,,108
,5700,China (Mainland),101,,,527,,40,3,"1,306",200,190,,722,
,3010,Colombia,"1,656",,,92,,,,,14,,212,,
,5800,South Korea,35,623,,388,,3,,33,,,,209,140
,3070,Venezuela,,,,,"1,403",,,,,,,,
,4120,United Kingdom,26,265,,45,42,,636,,34,,,,
,5880,Japan,14,164,44,,,,,,,218,260,148,10
,7230,Tunisia,,,,,,,,,,,,,727
,5830,China (Taiwan),40,,,104,,350,,,,,,207,
,3310,Ecuador,141,,72,,,32,,296,,,,38,97
,5820,Hong Kong,,,,,,,,500,,50,,,
,4280,"Germany, Fed. Republic",,33,,,,439,,48,,,,,
,2470,Dominican Republic,,,374,,,,,,,,,130,
,2230,Costa Rica,,,28,,,,7,,93,213,,74,10
,5650,Philippines,,,,,,,,,20,402,,,
,2410,Jamaica,,,,,,,400,,,,,,
,5310,Afghanistan,,,374,,,,,,,,,,
,5330,India,,,,,,99,163,,,,,44,
,,Other countries,244,137,45,94,15,304,363,0,68,59,13,434,311
,,"Total
 ","5,451","13,202","5,886","3,584","6,971","3,856","4,448","6,787","3,572","4,468","3,313","4,335","3,637"
"Lamb imports
(Carcass wt. 1,000 pounds)",6021,Australia,"9,252","8,685","11,077","14,038","19,684","12,160","17,729","17,526","15,394","11,533","12,814","8,786","6,652"
,6141,New Zealand,"2,604","2,939","4,720","4,603","5,104","4,049","7,300","7,807","4,549","4,223","4,153","3,976","2,699"
,3370,Chile,42,,,,34,41,44,237,135,161,293,154,
,3550,Uruguay,47,82,12,84,37,42,36,,,63,47,,
,4000,Iceland,296,50,,,,,,2,,,,,
,2010,Mexico,,,19,26,29,29,29,,24,65,16,,
,1220,Canada,5,8,16,14,7,10,12,11,1,1,6,4,8
,,Other countries,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Total
 ","12,245","11,764","15,843","18,764","24,895","16,331","25,150","25,583","20,104","16,047","17,330","12,919","9,359"
"Mutton imports
(Carcass wt. 1,000 pounds)",6021,Australia,"5,797","4,344","3,504","2,441","4,441","3,154","5,056","4,267","2,761","3,235","5,902","4,122","2,786"
,6141,New Zealand,295,90,73,196,325,161,765,629,86,54,87,408,356
,3550,Uruguay,,,74,,,,,,,,,,
,,Other countries,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Total
 ","6,092","4,434","3,651","2,637","4,766","3,315","5,821","4,896","2,847","3,288","5,990","4,531","3,142"
"Lamb exports
(Carcass wt. 1,000 pounds)",2010,Mexico,,41,78,,40,60,21,,,36,,40,
,2410,Jamaica,,,1,22,,,54,,,,,,
,6820,"Micronesia, Federated States",35,,,,,,,,,,,27,
,2482,British Virgin Islands,43,,,7,,,,,,,,,
,2250,Panama,,,,,,41,,,,,,,
,2484,Antigua & Barbuda,4,,0,4,13,7,4,1,1,,0,0,
,2720,Barbados,4,4,9,1,1,1,5,0,1,0,0,1,4
,2470,Dominican Republic,,,0,1,,,,,4,11,,,10
,2430,Turks and Caicos Islands,1,0,1,6,1,2,1,1,1,0,1,2,
,2360,Bahamas,1,2,1,1,1,2,2,5,1,1,1,0,1
,5820,Hong Kong,,,1,,1,2,,,,1,,,1
,3120,Guyana,,,,,,,,,,,,,5
,2779,Aruba,,0,,0,2,0,,,,2,,,
,3150,Suriname,,,,,,,,,,3,2,,
,2774,Sint Marteen,,3,,,,,,0,,,,,
,5880,Japan,,0,3,,,,,,,,,,
,2489,Grenada,0,0,0,1,,,0,0,0,,,,0
,4759,Italy,,,,,,,,,,,,,1
,3550,Uruguay,0,,0,,0,,,,,,,,
,5590,Singapore,,,,1,,,,,,,,,
,,Other countries,0,0,0,0,0,1,0,0,0,1,0,0,0
,,"Total
 ",89,51,94,43,60,116,86,8,7,54,4,71,22
"Mutton exports
(Carcass wt. 1,000 pounds)",2010,Mexico,67,109,183,51,,191,81,76,293,32,31,0,442
,2360,Bahamas,31,50,35,35,98,49,44,24,37,22,32,20,12
,2740,Trinidad and Tobago,13,,94,16,85,,4,11,7,5,91,8,7
,1220,Canada,28,20,34,5,7,15,28,52,23,31,43,6,31
,2470,Dominican Republic,0,73,1,12,68,10,8,54,6,6,,12,
,5200,United Arab Emirates,,3,0,,176,0,1,,,44,,,5
,2320,Bermuda,,59,6,2,30,33,1,6,36,13,,12,
,4759,Italy,4,,,,,,17,19,10,19,75,35,19
,2774,Sint Marteen,,40,1,21,23,37,4,0,0,,9,1,1
,2779,Aruba,5,11,11,13,8,10,16,7,3,4,5,17,3
,2050,Guatemala,0,,32,7,1,14,17,7,2,10,1,0,15
,2410,Jamaica,8,,1,71,3,1,2,,9,,7,1,
,4700,Spain,6,3,3,,4,4,18,22,4,17,1,5,4
,5830,China (Taiwan),5,23,9,3,3,6,,5,5,6,5,5,14
,2250,Panama,0,3,2,,,8,2,39,,,,28,1
,2720,Barbados,1,2,13,9,15,5,4,16,1,0,1,1,1
,2430,Turks and Caicos Islands,6,2,4,11,5,1,11,3,3,5,7,5,2
,4210,Netherlands,,,,,1,3,17,7,1,3,18,10,
,2230,Costa Rica,,,4,,,0,13,5,29,,,,
,5880,Japan,,5,0,0,0,7,,,,4,12,12,4
,,Other countries,42,39,41,62,29,67,72,45,35,25,46,19,12
,,"Total
 ",217,440,475,317,558,463,357,400,506,247,383,199,572
"Broiler exports
(1,000 pounds)",2010,Mexico,"111,126","132,706","136,347","122,259","123,905","105,927","119,771","122,268","136,558","115,722","138,530","128,468","113,711"
,2390,Cuba,"38,106","25,687","35,350","28,729","53,453","40,709","34,744","22,462","59,985","47,180","74,609","60,264","63,121"
,5830,China (Taiwan),"16,905","29,085","25,988","37,068","48,663","51,217","50,368","42,164","42,642","26,517","24,959","24,271","24,542"
,7620,Angola,"48,840","40,169","25,641","21,581","25,219","16,115","32,725","20,208","34,464","38,226","43,244","42,565","23,122"
,1220,Canada,"25,664","24,673","26,135","22,286","22,346","20,350","24,276","21,958","24,783","26,785","25,929","27,159","27,144"
,2050,Guatemala,"18,346","23,203","24,898","21,590","23,903","20,488","21,174","26,122","27,190","21,120","24,552","26,751","21,297"
,5520,Vietnam,"18,913","27,629","16,931","10,831","23,291","31,215","27,551","26,389","27,552","21,453","14,690","23,738","30,356"
,4633,Georgia,"16,917","21,766","18,437","9,650","18,188","18,283","23,211","16,758","19,325","22,648","23,428","31,092","30,318"
,5820,Hong Kong,"16,383","23,444","18,900","16,338","20,639","18,863","18,519","21,273","18,391","25,267","21,114","16,887","17,753"
,5650,Philippines,"25,158","39,370","27,685","19,036","11,791","8,498","7,716","7,921","8,097","13,754","16,108","16,585","23,133"
,3010,Colombia,"15,359","15,122","17,464","14,202","13,724","13,382","17,907","14,376","18,923","18,189","19,372","22,039","14,899"
,7910,Republic of South Africa,"18,435","19,233","9,140","12,661","9,578","20,537","23,106","16,946","21,350","15,656","13,576","11,367","11,933"
,3370,Chile,"13,704","16,157","15,879","7,407","8,831","11,354","15,087","16,678","14,786","14,655","8,077","13,207","10,306"
,2450,Haiti,"13,743","11,722","11,543","13,064","12,996","9,421","13,398","15,432","12,489","5,886","7,912","6,637","9,924"
,5200,United Arab Emirates,"5,141","8,510","6,646","14,264","14,133","19,002","10,192","8,071","10,266","14,929","12,830","5,485","3,822"
,7630,Congo (Brazzville),"17,068","20,331","17,206","8,021","6,186","6,078","4,173","6,907","13,240","10,926","6,955","6,683","9,510"
,7490,Ghana,"7,744","8,490","7,391","8,743","8,645","7,197","7,803","10,979","11,087","13,483","14,639","12,514","8,305"
,2470,Dominican Republic,"10,599","8,693","9,403","10,355","8,631","8,647","10,862","7,690","8,977","9,595","8,197","12,665","11,673"
,5050,Iraq,"13,432","17,762","11,317","20,727","7,676","3,322","7,687","5,226","3,467","3,503","8,045","3,154","6,756"
,4634,Kazakhstan,"15,541","15,227","8,897","8,276","4,978","10,855","1,617","3,228","5,097","6,345","11,513","9,187","8,872"
,,Other countries,"111,442","138,792","150,541","154,569","113,561","107,375","120,812","110,536","103,843","85,745","88,230","100,621","105,679"
,,"Total
 ","578,566","667,771","621,744","581,656","580,338","548,834","592,701","543,592","622,514","557,583","606,512","601,339","576,175"
"Other chicken exports
(1,000 pounds)",2010,Mexico,"5,877","4,804","3,965","3,568","2,982","3,518","5,452","3,701","5,381","3,909","5,630","4,732","5,576"
,5820,Hong Kong,"1,063",524,"1,046",659,524,,"1,257",524,524,524,524,524,"1,046"
,1220,Canada,89,108,38,74,10,101,411,560,602,379,946,699,"1,233"
,2450,Haiti,168,6,,,1,17,336,448,728,840,784,855,623
,2360,Bahamas,62,60,15,97,122,46,238,122,139,126,113,375,560
,5520,Vietnam,,478,,,924,,,,,,,,
,2470,Dominican Republic,15,54,58,55,128,61,587,193,115,2,6,,50
,3150,Suriname,74,78,109,72,171,293,78,29,50,54,53,27,
,2484,Antigua & Barbuda,124,47,152,121,109,181,13,,,3,,21,32
,2740,Trinidad and Tobago,,,,,52,392,156,,52,27,40,17,14
,2250,Panama,43,59,29,77,55,38,21,88,70,67,7,79,10
,2230,Costa Rica,92,,,,42,42,42,126,98,,,,48
,5650,Philippines,122,222,,2,8,2,2,5,,,,,
,7620,Angola,,,,,,,,,,,,318,
,2440,Cayman Islands,38,17,19,10,30,20,14,11,31,22,18,35,25
,3010,Colombia,177,57,,5,,,4,,,,5,,2
,2410,Jamaica,13,27,76,,,110,,14,,,,,
,2779,Aruba,54,,5,,,6,4,54,,,54,,60
,2050,Guatemala,,44,,,,6,,3,8,,,4,113
,2430,Turks and Caicos Islands,3,4,36,14,13,18,25,13,19,5,13,15,
,,Other countries,196,164,115,49,44,66,71,21,71,39,48,99,159
,,"Total
 ","8,210","6,752","5,662","4,801","5,216","4,917","8,711","5,913","7,887","5,997","8,243","7,799","9,552"
"Turkey exports
(1,000 pounds)",2010,Mexico,"25,194","38,226","33,108","32,094","27,148","26,113","28,737","30,919","35,213","31,705","30,727","36,180","33,382"
,5820,Hong Kong,"5,793","5,169","3,378","1,516",511,"1,062","1,256","1,309",628,"1,753","1,022","1,171","1,103"
,7610,Benin,992,582,292,286,"2,333","2,898","3,356","4,803","2,129","1,573","1,051","1,850","1,654"
,7910,Republic of South Africa,233,"1,355",696,"1,544","2,078","3,744","3,080","2,750","3,175","1,356",620,"1,057",775
,3330,Peru,,418,521,"1,277",698,"2,226","1,703","1,702","2,628","2,206","1,383","1,482","1,839"
,5880,Japan,"1,165","1,237",427,"1,148","1,074",591,"1,568",897,"1,008","1,300","1,725","1,369","1,015"
,2470,Dominican Republic,984,"1,527","1,260",843,919,"1,060",753,948,"1,036",972,686,"1,490",691
,1220,Canada,786,"1,259","1,011",790,"1,075",996,"1,204","1,295","1,071",777,781,822,"1,141"
,2410,Jamaica,803,496,784,"1,005",921,678,"1,458","1,164",699,650,515,"1,247",610
,2250,Panama,967,"1,499","1,917",345,536,542,566,757,732,674,893,630,735
,2050,Guatemala,600,"1,488","1,918",507,621,426,580,599,417,584,541,956,"1,005"
,3370,Chile,"1,449",242,243,243,"1,366","1,118","1,078",744,506,283,706,339,"1,043"
,7550,Gabon,291,228,,189,240,636,"1,270",781,"1,024",802,"1,320","1,368",644
,2450,Haiti,861,964,"1,059","1,170",916,165,"1,281",676,567,228,128,124,319
,7630,Congo (Brazzville),291,"1,055",590,,,460,406,408,"1,293","1,326",883,"1,007",234
,2230,Costa Rica,298,757,388,374,287,440,744,919,736,589,876,572,623
,2360,Bahamas,487,510,737,"1,092",358,527,475,558,403,516,592,555,441
,3010,Colombia,335,"1,453",561,228,295,641,752,976,250,562,363,472,351
,6150,Western Samoa,250,371,483,67,246,655,365,305,363,355,346,629,182
,5830,China (Taiwan),298,316,472,288,336,476,124,389,273,604,386,242,215
,,Other countries,"3,633","6,371","5,735","3,892","3,262","2,460","2,791","2,569","4,105","3,175","3,782","4,571","3,764"
,,"Total
 ","45,710","65,523","55,578","48,901","45,219","47,915","53,544","55,467","58,256","51,989","49,326","58,134","51,766"
"Egg exports,
including products (shell-egg equivalent, 1,000 dozen)",1220,Canada,"7,859","10,081","9,336","9,994","6,005","5,028","9,385","10,868","7,923","6,203","5,755","6,812","7,643"
,2010,Mexico,"5,478","5,073","5,553","5,279","6,320","4,992","6,564","6,525","7,626","6,693","8,716","8,077","8,110"
,5820,Hong Kong,"4,457","5,684","3,248","3,249","3,173","2,702","4,705","3,935","5,513","5,839","5,166","4,642","3,683"
,5880,Japan,"1,955","2,168","2,367","1,507","2,283","1,222","1,107","1,853","2,428","2,208","1,962","2,522","2,301"
,2410,Jamaica,631,679,593,584,617,623,703,609,727,583,503,716,681
,2740,Trinidad and Tobago,563,436,570,450,408,608,453,887,546,525,508,710,413
,5830,China (Taiwan),847,"1,170",811,623,463,217,315,80,212,445,185,369,264
,5800,South Korea,"1,054",215,485,785,166,348,140,174,646,633,128,337,743
